metric,source,api,iters,ok_count,min_us,avg_us,max_us,stddev_us,notes
amd_smi:::clk_freq_soc_current:device=0,AMDSMI,amdsmi_get_clk_freq,500,500,24.331,25.371,86.481,5.812,
amd_smi:::clk_freq_df_current:device=0,PAPI,PAPI_read,500,500,24.720,25.819,87.330,5.662,
amd_smi:::clk_freq_df_current:device=0,AMDSMI,amdsmi_get_clk_freq,500,500,24.511,25.653,83.591,5.526,
amd_smi:::clk_freq_sys_count:device=0,PAPI,PAPI_read,500,500,23.990,25.096,90.960,6.605,
amd_smi:::clk_freq_sys_count:device=0,AMDSMI,amdsmi_get_clk_freq,500,500,23.881,24.965,92.900,6.283,
amd_smi:::pcie_bandwidth:device=0,PAPI,PAPI_read,500,500,305.432,375.071,1026.468,134.591,
amd_smi:::pcie_bandwidth:device=0,AMDSMI,amdsmi_get_pcie_info,500,500,312.093,373.733,1115.139,124.306,
amd_smi:::pcie_replay_count:device=0,PAPI,PAPI_read,500,500,306.192,378.149,1025.207,147.880,
amd_smi:::pcie_replay_count:device=0,AMDSMI,amdsmi_get_pcie_info,500,500,313.672,372.995,1026.618,120.264,
amd_smi:::pcie_nak_sent_count:device=0,PAPI,PAPI_read,500,500,305.822,376.089,992.308,139.286,
amd_smi:::pcie_nak_sent_count:device=0,AMDSMI,amdsmi_get_pcie_info,500,500,313.823,372.201,990.457,118.222,
amd_smi:::pcie_nak_received_count:device=0,PAPI,PAPI_read,500,500,305.902,376.775,1034.318,141.982,
amd_smi:::pcie_nak_received_count:device=0,AMDSMI,amdsmi_get_pcie_info,500,500,313.803,373.016,998.118,115.513,
amd_smi:::xgmi_read_kb:device=0,PAPI,PAPI_read,500,500,1444.961,1499.770,1740.543,45.183,
amd_smi:::xgmi_read_kb:device=0,AMDSMI,amdsmi_get_link_metrics,500,500,1447.391,1499.736,1771.214,46.070,
amd_smi:::xgmi_write_kb:device=0,PAPI,PAPI_read,500,500,1444.931,1499.576,1770.344,46.840,
amd_smi:::xgmi_write_kb:device=0,AMDSMI,amdsmi_get_link_metrics,500,500,1446.411,1500.831,1793.354,47.524,
amd_smi:::ecc_total_correctable:device=0,PAPI,PAPI_read,500,500,716.075,999.935,1292.630,25.881,
amd_smi:::ecc_total_correctable:device=0,AMDSMI,amdsmi_get_gpu_total_ecc_count,500,500,773.226,1000.009,1230.310,19.783,
amd_smi:::ecc_total_uncorrectable:device=0,PAPI,PAPI_read,500,500,787.106,999.926,1207.049,23.994,
amd_smi:::ecc_total_uncorrectable:device=0,AMDSMI,amdsmi_get_gpu_total_ecc_count,500,500,775.556,1000.005,1219.859,23.666,
amd_smi:::ecc_total_deferred:device=0,PAPI,PAPI_read,500,500,798.246,999.933,1200.470,22.157,
amd_smi:::ecc_total_deferred:device=0,AMDSMI,amdsmi_get_gpu_total_ecc_count,500,500,795.486,1000.001,1201.089,18.433,
amd_smi:::temp_critical_sensor=7:device=0,PAPI,PAPI_read,500,500,267.662,365.496,1018.608,224.607,
amd_smi:::temp_critical_sensor=7:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,264.392,353.542,1211.139,206.089,
amd_smi:::temp_emergency_sensor=7:device=0,PAPI,PAPI_read,500,500,265.743,360.247,1203.480,216.304,
amd_smi:::temp_emergency_sensor=7:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,264.432,359.427,1531.892,217.791,
amd_smi:::temp_max_sensor=7:device=0,PAPI,PAPI_read,500,500,268.272,356.512,1040.147,209.334,
amd_smi:::temp_max_sensor=7:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,266.172,361.299,1041.568,218.175,
amd_smi:::perf_level:device=0,PAPI,PAPI_read,500,500,21.480,21.789,29.040,0.552,
amd_smi:::perf_level:device=0,AMDSMI,amdsmi_get_gpu_perf_level,500,500,21.330,21.909,79.390,2.977,
