timestamp,"amd_smi:::temp_current_sensor=1:device=0","amd_smi:::temp_current_sensor=2:device=0","amd_smi:::temp_current_sensor=7:device=0","amd_smi:::gfx_activity:device=0","amd_smi:::umc_activity:device=0","amd_smi:::power_current:device=0","amd_smi:::process_cu_occupancy_proc=0:device=0"
17.552111,56,41,36,100,5,560,228
17.654759,56,40,36,100,5,560,228
17.757139,56,41,36,100,5,561,228
17.859760,56,41,36,100,5,561,228
17.962131,56,41,36,100,5,561,228
18.064780,56,40,36,94,4,532,228
18.167139,56,41,36,98,5,551,228
18.269782,56,41,36,99,5,558,228
18.372143,56,41,36,100,5,560,228
18.474782,56,41,36,100,5,561,228
18.577161,56,41,36,100,5,562,228
18.680182,56,41,36,100,5,561,228
18.782807,56,41,36,100,5,561,225
18.885177,56,41,36,100,5,561,228
18.987832,56,40,36,93,4,526,228
19.090186,56,41,36,97,4,549,228
19.192817,56,41,36,99,5,557,228
19.295192,56,41,36,100,5,560,228
19.397834,56,41,36,100,5,561,228
19.500193,56,41,36,100,5,561,228
19.602838,56,41,36,100,5,561,228
19.705218,56,41,36,100,5,561,225
19.807854,56,41,36,100,5,561,228
19.910249,56,40,36,90,4,516,228
20.012866,56,41,36,97,4,545,228
20.115221,56,41,36,99,5,555,228
20.217877,56,41,36,100,5,559,228
20.320241,56,41,37,100,4,544,171
20.423217,55,40,36,100,2,381,0
20.525873,55,39,36,41,1,221,0
20.628233,54,39,36,15,0,160,0
20.730879,53,38,36,5,0,138,0
20.833242,53,38,36,2,0,130,0
20.935891,52,38,36,1,0,127,0
21.038248,52,38,36,0,0,126,0
21.140901,51,37,36,0,0,125,0
21.243258,51,37,36,0,0,125,0
21.345906,50,37,36,0,0,125,0
21.447925,50,37,36,0,0,125,0
21.550283,49,37,36,0,0,125,0
21.652926,49,37,36,0,0,125,0
21.754936,49,37,36,0,0,125,0
21.857295,48,36,36,0,0,125,0
21.959939,48,36,36,0,0,125,0
22.062297,48,36,36,0,0,125,0
22.164961,48,36,36,0,0,124,0
22.267312,47,36,36,0,0,124,0
22.369952,47,36,36,0,0,124,0
22.471970,47,36,36,0,0,124,0
