timestamp,"amd_smi:::temp_current_sensor=1:device=1","amd_smi:::temp_current_sensor=2:device=1","amd_smi:::temp_current_sensor=7:device=1","amd_smi:::gfx_activity:device=1","amd_smi:::umc_activity:device=1","amd_smi:::power_current:device=1","amd_smi:::power_average:device=1","amd_smi:::process_cu_occupancy_proc=0:device=1","amd_smi:::process_count:device=1"
122.148746,69,70,35,100,30,65535,200,85,1
122.251851,70,70,35,100,29,65535,201,84,1
122.354385,69,70,35,100,26,65535,202,83,1
122.456849,70,71,35,100,28,65535,203,80,1
122.559766,70,71,35,100,27,65535,203,78,1
122.662870,70,70,35,100,25,65535,204,82,1
122.765769,70,70,36,100,28,65535,205,78,1
122.868673,70,71,35,100,28,65535,205,74,1
122.971668,70,70,36,100,29,65535,205,81,1
123.074200,70,70,36,100,33,65535,206,88,1
123.176779,70,71,36,100,30,65535,207,80,1
123.279902,70,71,36,100,31,65535,208,88,1
123.382424,70,72,36,100,29,65535,208,82,1
123.484883,70,72,36,100,24,65535,209,78,1
123.587795,70,70,36,100,26,65535,209,80,1
123.690926,70,70,36,100,25,65535,209,78,1
123.793777,70,70,36,100,25,65535,209,82,1
123.896832,70,72,35,100,30,65535,209,77,1
123.999449,70,71,35,100,26,65535,210,88,1
124.102195,70,71,35,100,34,65535,210,86,1
124.204796,70,71,35,100,28,65535,211,80,1
124.307761,70,72,36,100,25,65535,211,86,1
124.410787,70,72,36,100,27,65535,211,82,1
124.513454,70,72,35,100,25,65535,211,82,1
124.615916,70,70,36,100,26,65535,211,80,1
124.718806,71,70,35,100,25,65535,211,81,1
124.821847,70,71,35,100,28,65535,211,86,1
124.924815,70,72,35,100,27,65535,212,80,1
125.027455,70,71,36,100,29,65535,212,89,1
125.129890,70,71,35,100,27,65535,212,79,1
125.232829,70,71,36,100,23,65535,212,81,1
125.335827,71,72,36,100,25,65535,212,75,1
125.438833,70,70,36,100,23,65535,212,68,1
125.541280,70,70,36,100,23,65535,212,79,1
125.643823,71,70,36,100,24,65535,211,75,1
125.746864,70,71,36,100,20,65535,211,79,1
125.849850,71,71,36,100,25,65535,211,83,1
125.952820,71,71,35,100,27,65535,211,86,1
126.055262,71,71,36,100,25,65535,211,73,1
126.157820,71,70,36,100,22,65535,211,72,1
126.260785,71,70,36,100,25,65535,211,68,1
126.363839,70,71,36,100,19,65535,210,73,1
126.466856,71,70,36,100,22,65535,210,81,1
126.569857,70,70,36,100,22,65535,210,83,1
126.672564,70,70,35,100,30,65535,210,69,1
126.774931,71,70,35,100,21,65535,209,90,1
126.877885,71,71,36,100,28,65535,210,79,1
126.980862,71,72,36,100,23,65535,210,75,1
127.083876,71,70,36,100,23,65535,210,72,1
127.186872,71,71,36,100,23,65535,209,77,1
127.289289,71,70,36,100,20,65535,209,73,1
127.391840,71,70,36,100,21,65535,209,73,1
127.494836,71,70,36,100,21,65535,209,68,1
127.597946,70,70,36,100,32,65535,208,74,1
127.700922,71,71,36,100,28,65535,209,78,1
127.803344,71,72,36,100,25,65535,209,83,1
127.905874,71,72,36,100,27,65535,209,75,1
128.008856,71,72,36,100,22,65535,209,81,1
128.111816,71,71,36,100,26,65535,210,82,1
128.214804,71,72,36,100,24,65535,210,70,1
128.320147,71,71,36,100,23,65535,210,79,1
128.422966,71,71,36,100,27,65535,210,74,1
128.525932,71,71,36,99,33,65535,210,82,1
128.628894,71,71,36,100,29,65535,210,81,1
128.731171,71,71,36,100,27,65535,210,81,1
128.833879,71,71,36,100,27,65535,211,79,1
128.936299,71,72,36,100,26,65535,211,87,1
129.038887,71,71,36,100,26,65535,211,87,1
129.141863,71,71,36,100,25,65535,211,76,1
129.244276,71,71,36,100,24,65535,211,80,1
129.346944,71,72,36,100,25,65535,211,76,1
129.450010,71,71,36,99,23,65535,210,83,1
129.553006,71,72,36,100,32,65535,211,84,1
129.656199,71,73,36,100,31,65535,212,75,1
129.758934,71,72,36,100,24,65535,212,85,1
129.861338,71,71,36,100,22,65535,212,74,1
129.963925,71,72,36,100,24,65535,212,73,1
130.066878,71,72,36,100,23,65535,212,78,1
130.169700,71,72,36,100,23,65535,211,68,1
130.272225,71,71,36,100,21,65535,211,66,1
130.375000,70,70,36,96,24,65535,210,96,1
130.477917,71,71,35,100,25,65535,211,75,1
130.580909,71,71,36,100,26,65535,211,72,1
130.683712,71,72,36,100,23,65535,211,86,1
130.786713,72,72,36,100,24,65535,211,75,1
130.889199,71,71,36,100,21,65535,211,76,1
130.992004,72,72,36,100,23,65535,211,74,1
131.094922,71,72,36,100,22,65535,211,76,1
131.197735,71,71,36,100,19,65535,210,78,1
131.301083,70,71,36,40,3,65535,210,93,1
131.403423,71,71,36,100,31,65535,210,91,1
131.505988,72,72,36,100,28,65535,211,84,1
131.608758,72,71,36,100,24,65535,211,86,1
