t_sec,read_us,"amd_smi:::power_current:device=1"
0.601616,562.264,67
0.602636,582.033,67
0.603624,568.874,67
0.604679,622.124,67
0.605617,563.294,67
0.606655,602.164,67
0.607614,560.454,67
0.608663,608.664,67
0.609616,561.784,67
0.610658,604.394,67
0.611616,562.744,67
0.612672,617.624,67
0.613614,559.044,67
0.614670,616.634,67
0.615617,563.674,67
0.616664,610.155,67
0.617614,559.814,67
0.618661,607.374,67
0.619613,559.634,67
0.620664,610.424,67
0.621618,564.334,67
0.622655,601.864,67
0.623615,561.584,67
0.624663,607.954,67
0.625618,563.153,67
0.626655,601.734,67
0.627618,563.714,67
0.628662,607.344,67
0.629618,563.983,67
0.630654,600.314,67
0.631618,564.274,67
0.632659,604.644,67
0.633618,564.514,67
0.634653,599.604,67
0.635620,565.904,67
0.636683,628.654,67
0.637618,563.574,67
0.638657,603.144,67
0.639617,563.124,67
0.640665,609.864,67
0.641619,565.374,67
0.642657,602.064,67
0.643622,567.543,67
0.644668,613.085,67
0.645617,562.724,67
0.646670,615.564,67
0.647618,563.904,67
0.648663,609.474,67
0.649617,563.314,67
0.650656,603.034,67
0.651619,565.074,67
0.652660,605.705,67
0.653617,563.564,67
0.654658,603.574,67
0.655617,563.344,67
0.656676,621.804,67
0.657619,565.624,67
0.658658,602.644,67
0.659616,561.764,67
0.660665,610.704,67
0.661617,562.943,67
0.662657,603.344,67
0.663619,565.504,67
0.664665,611.164,67
0.665619,565.744,67
0.666658,604.614,67
0.667621,567.144,67
0.669239,1184.898,67
0.669626,385.573,67
0.670625,571.543,67
0.671619,564.854,67
0.672662,607.474,67
0.673617,563.844,67
0.674659,605.324,67
0.675621,565.964,67
0.676666,611.764,67
0.677619,565.994,67
0.678671,617.134,67
0.679619,565.903,67
0.680661,606.124,67
0.681617,562.664,67
0.682657,602.904,67
0.683618,564.124,67
0.684665,606.934,67
0.685621,566.694,67
0.686655,602.014,67
0.687618,564.583,67
0.688676,621.875,67
0.689621,567.024,67
0.690663,608.484,67
0.691618,564.444,67
0.692667,612.534,67
0.693621,567.233,67
0.694660,604.334,67
0.695620,565.984,67
0.696672,617.574,67
0.697621,567.263,67
0.698664,610.824,67
0.699622,567.794,67
0.700668,614.084,67
0.701618,564.534,67
0.702657,603.424,67
0.703621,567.244,67
0.704625,569.574,67
0.705707,653.194,67
0.706687,632.045,67
0.707625,570.204,67
0.708660,605.694,67
0.709623,569.374,67
0.711240,1185.998,67
0.711628,386.952,67
0.712621,566.864,67
0.713620,567.084,67
0.714661,607.664,67
0.715620,566.253,67
0.716672,617.454,67
0.717620,566.364,67
0.718664,610.874,67
0.719618,564.643,67
0.720685,631.235,67
0.721620,565.764,67
0.722661,607.114,67
0.723622,568.144,67
0.724669,614.484,67
0.725623,568.724,67
0.726663,609.034,67
0.727622,567.824,67
0.728666,611.154,67
0.729620,566.263,67
0.730670,616.624,67
0.731621,568.034,67
0.732669,614.174,67
0.733621,567.554,67
0.734658,604.844,67
0.735624,570.334,67
0.736668,614.394,67
0.737619,565.313,67
0.738662,606.355,67
0.739623,567.564,67
0.740666,611.984,67
0.741623,569.614,67
0.742662,608.784,67
0.743621,567.024,67
0.744670,614.224,67
0.745621,567.924,67
0.746658,604.934,67
0.747623,569.553,67
0.748665,611.504,67
0.749622,568.274,67
0.750660,606.194,67
0.751622,568.474,67
0.752682,628.115,68
0.753624,570.434,68
0.754658,604.864,68
0.755625,571.943,68
0.756668,612.965,68
0.757621,567.244,68
0.758665,609.894,68
0.759624,568.964,68
0.760666,611.414,68
0.761622,568.134,68
0.762672,618.824,68
0.763622,567.814,68
0.764671,616.754,68
0.765621,567.183,68
0.766661,607.324,68
0.767622,568.204,68
0.768668,614.234,68
0.769623,569.664,68
0.770660,606.924,67
0.771623,569.684,67
0.772686,632.184,68
0.773622,568.513,68
0.774661,606.945,68
0.775620,565.834,68
0.776668,614.064,68
0.777623,569.064,68
0.778660,606.754,68
0.779620,566.583,68
0.780668,614.214,68
0.781635,581.524,68
0.782661,605.934,68
0.783636,582.894,68
0.785244,1189.628,68
0.785633,387.733,68
0.786628,574.354,68
0.787625,569.723,68
0.788669,614.575,68
0.789626,569.614,68
0.790662,608.354,68
0.791624,571.074,68
0.792670,615.715,68
0.793623,569.074,68
0.794684,628.764,68
0.795624,570.184,68
0.796673,618.804,68
0.797624,570.453,68
0.798665,611.414,68
0.799626,572.884,68
0.800676,621.934,68
0.801627,572.954,68
0.802661,607.564,68
0.803623,569.064,68
0.804683,628.384,68
0.805626,572.003,68
0.806666,612.275,68
0.807661,607.424,68
0.808623,568.534,68
0.809706,652.454,68
0.810686,632.194,68
0.811623,569.024,68
0.812672,617.794,68
0.813627,572.914,68
0.814669,615.384,68
0.815627,572.004,68
0.816675,620.984,68
0.817624,570.594,68
0.818666,612.264,68
0.819623,569.184,68
0.820670,616.494,68
0.821627,573.154,68
0.822666,612.024,68
0.823624,570.463,68
0.824668,613.345,68
0.825629,573.784,68
0.827245,1191.138,68
0.827633,387.303,68
0.828632,577.824,68
0.829635,581.454,68
0.830668,614.544,68
0.831628,573.444,68
0.832672,617.834,68
0.833639,585.394,68
0.834664,610.384,68
0.835636,582.404,68
0.836686,631.944,68
0.837625,571.624,68
0.838667,613.254,68
0.839624,569.074,68
