timestamp,rocm_smi:::gpu_clk_freq_System:device=0:idx=0,rocm_smi:::temp_current:device=0:sensor=1,rocm_smi:::temp_current:device=0:sensor=2,rocm_smi:::mem_usage_VRAM:device=0,rocm_smi:::busy_percent:device=0,rocm_smi:::memory_busy_percent:device=0
22.886205,500000000,39000,53000,54860365824,0,0
22.987229,500000000,40000,53000,54860365824,0,0
23.088153,500000000,40000,53000,54860365824,0,0
23.188968,500000000,40000,53000,54860365824,0,0
23.289877,500000000,40000,53000,54860365824,0,0
23.390784,500000000,40000,53000,54860365824,0,0
23.491648,500000000,40000,53000,54860365824,0,0
23.592469,500000000,40000,53000,54860365824,0,0
23.693275,500000000,39000,53000,54860365824,0,0
23.794207,500000000,39000,53000,54860365824,0,0
23.895000,500000000,42000,55000,54860365824,100,18
23.995892,500000000,43000,56000,54860365824,100,19
24.096649,500000000,43000,56000,54860365824,100,19
24.197423,500000000,44000,56000,54860365824,100,19
24.298285,500000000,43000,55000,54860365824,100,3
24.399189,500000000,41000,54000,54860365824,0,0
24.499943,500000000,40000,53000,54860365824,0,0
24.600728,500000000,40000,53000,54860365824,0,0
24.701434,500000000,40000,53000,54860365824,0,0
24.802243,500000000,40000,53000,54860365824,0,0
24.903034,500000000,40000,53000,54860365824,0,0
25.003796,500000000,40000,53000,54860365824,0,0
25.105533,500000000,40000,53000,54860365824,0,0
25.206307,500000000,40000,53000,54860365824,0,0
25.307388,500000000,40000,53000,54860365824,0,0
25.408217,500000000,40000,53000,54860365824,0,0
25.509052,500000000,40000,53000,54860365824,0,0
25.609768,500000000,40000,53000,54860365824,0,0
25.710497,500000000,40000,53000,54860365824,0,0
25.811278,500000000,40000,53000,54860365824,0,0
25.911983,500000000,40000,53000,54860365824,0,0
26.012624,500000000,40000,53000,54860365824,0,0
26.113228,500000000,40000,53000,54860365824,0,0
26.213779,500000000,40000,53000,54860365824,0,0
26.314450,500000000,40000,53000,54860365824,0,0
26.415316,500000000,39000,53000,54860365824,0,0
26.516041,500000000,40000,53000,54860365824,0,0
26.616742,500000000,40000,53000,54860365824,0,0
26.717462,500000000,40000,53000,54860365824,0,0
26.818324,500000000,40000,53000,54860365824,0,0
26.919038,500000000,40000,53000,54860365824,0,0
27.019850,500000000,40000,53000,54860365824,0,0
27.120549,500000000,40000,53000,54860365824,0,0
27.221354,500000000,40000,53000,54860365824,0,0
27.322052,500000000,40000,53000,54860365824,0,0
27.422642,500000000,40000,53000,54860365824,0,0
27.523361,500000000,40000,53000,54860365824,0,0
27.624159,500000000,40000,53000,54860365824,0,0
27.724976,500000000,40000,53000,54860365824,0,0
27.825681,500000000,40000,53000,54860365824,0,0
27.926382,500000000,40000,53000,54860365824,0,0
28.027086,500000000,40000,53000,54860365824,0,0
28.127765,500000000,40000,53000,54860365824,0,0
28.229317,500000000,40000,53000,54860365824,0,0
28.330005,500000000,40000,53000,54860365824,0,0
