t_sec,"amd_smi:::power_current:device=1"
41.564563,507
41.565583,507
41.566562,507
41.567578,507
41.568562,507
41.569583,507
41.570562,507
41.571585,507
41.572568,507
41.573584,507
41.574563,507
41.575584,507
41.576563,507
41.577579,507
41.578563,507
41.579584,507
41.580563,507
41.581585,507
41.582566,507
41.583937,507
41.584563,507
41.585584,507
41.586563,507
41.587585,507
41.588564,507
41.589579,507
41.590564,507
41.591584,507
41.592564,507
41.593939,507
41.594578,507
41.595586,507
41.596564,507
41.597586,507
41.598564,507
41.599579,507
41.600564,507
41.601587,507
41.602564,507
41.603588,507
41.604574,507
41.605586,507
41.606564,507
41.607586,507
41.608565,507
41.609580,507
41.610563,507
41.611586,507
41.612565,507
41.613585,507
41.614569,507
41.615938,507
41.616564,507
41.617587,507
41.618565,507
41.619586,507
41.620566,507
41.621582,507
41.622565,507
41.623587,507
41.624567,507
41.625942,507
41.626565,507
41.627587,507
41.628566,507
41.629586,507
41.630565,507
41.631581,507
41.632566,507
41.633588,507
41.634569,507
41.635942,505
41.636577,505
41.637588,498
41.638565,498
41.639588,490
41.640567,490
41.641582,483
41.642566,483
41.643588,475
41.644566,475
41.645587,468
41.646585,468
41.647588,462
41.648565,462
41.649588,463
41.650566,463
41.651583,464
41.652567,464
41.653588,464
41.654567,464
41.655589,465
41.656570,465
41.657941,466
41.658567,466
41.659588,467
41.660568,467
41.661588,468
41.662567,468
41.663584,468
41.664568,468
41.665589,469
41.666568,469
41.667944,470
41.668579,470
41.669590,471
41.670568,471
41.671589,471
41.672568,471
41.673583,472
41.674568,472
41.675589,473
41.676568,473
41.677590,473
41.678577,473
41.679590,474
41.680568,474
41.681591,475
41.682567,475
41.683585,475
41.684568,475
41.685589,476
41.686569,476
41.687589,477
41.688573,477
41.689943,477
41.690568,477
41.691592,478
41.692569,478
41.693585,478
41.694568,478
41.695590,479
41.696569,479
41.697591,480
41.698571,480
41.699946,480
41.700569,480
41.701590,481
41.702570,481
41.703590,481
41.704569,481
41.705585,482
41.706569,482
41.707591,482
41.708568,482
41.709945,483
41.710583,483
41.711591,483
41.712569,483
41.713592,484
41.714569,484
41.715586,484
41.716570,484
41.717591,485
41.718570,485
41.719591,485
41.720579,485
41.721591,485
41.722570,485
41.723591,486
41.724569,486
41.725586,486
41.726571,486
41.727592,487
41.728570,487
41.729593,487
41.730574,487
41.731945,488
41.732571,488
41.733592,488
41.734570,488
41.735593,488
41.736570,488
41.737586,489
41.738570,489
41.739592,489
41.740572,489
41.741947,489
41.742571,489
41.743593,490
41.744571,490
41.745593,490
41.746571,490
41.747588,491
41.748570,491
41.749579,491
41.750582,491
41.751953,491
41.752580,491
41.753593,492
41.754573,492
41.755592,492
41.756572,492
41.757589,492
41.758572,492
41.759593,492
41.760573,492
41.761595,493
41.762578,493
41.763594,493
41.764572,493
41.765594,493
41.766572,493
41.767587,494
41.768573,494
41.769593,494
41.770571,494
41.771594,494
41.772575,494
41.773946,494
41.774572,494
41.775594,495
41.776573,495
41.777951,495
41.778574,495
41.779588,495
41.780573,495
41.781595,495
41.782573,495
41.783948,496
41.784587,496
41.785595,496
41.786574,496
41.787596,496
41.788573,496
41.789589,496
41.790573,496
41.791596,497
41.792574,497
41.793596,497
41.794583,497
41.795594,497
41.796574,497
41.797596,497
41.798574,497
41.799590,497
41.800574,497
41.801596,498
41.802574,498
41.803596,498
41.804578,498
41.805948,498
41.806574,498
41.807595,498
41.808574,498
41.809597,498
41.810574,498
41.811591,498
41.812574,498
41.813596,499
41.814576,499
41.815952,499
41.816573,499
41.817596,499
41.818575,499
41.819596,499
41.820574,499
41.821590,499
41.822574,499
41.823597,499
41.824575,499
41.825951,500
41.826586,500
41.827596,500
41.828575,500
41.829598,500
41.830575,500
41.831591,500
41.832575,500
41.833598,500
41.834574,500
41.835597,500
41.836582,500
41.837598,500
41.838576,500
41.839597,501
41.840575,501
41.841591,501
41.842576,501
41.843598,501
41.844575,501
41.845598,501
41.846579,501
41.847951,501
41.848576,501
41.849599,501
41.850577,501
41.851598,501
41.852576,501
41.853592,501
41.854599,501
41.855950,502
41.856576,502
41.857953,502
41.858589,502
41.859599,502
41.860577,502
41.861599,502
41.862577,502
41.863593,502
41.864577,502
41.865598,502
41.866577,502
41.867952,502
41.868587,502
41.869600,502
41.870577,502
41.871956,502
41.872577,502
41.873593,502
41.874577,502
41.875599,503
41.876578,503
41.877599,503
41.878582,503
41.879952,503
41.880577,503
41.881957,503
41.882578,503
41.883593,503
41.884577,503
41.885600,503
41.886578,503
41.887600,503
41.888581,503
41.889954,503
41.890578,503
41.891599,503
41.892578,503
41.893601,503
41.894578,503
41.895595,504
41.896579,504
41.897600,504
41.898579,504
41.899955,504
41.900592,504
41.901599,504
41.902579,504
41.903600,504
41.904579,504
41.905595,504
41.906579,504
41.907959,504
41.908579,504
41.909601,504
41.910588,504
41.911601,504
41.912579,504
41.913958,504
41.914580,504
41.915595,504
41.916580,504
41.917601,504
41.918580,504
41.919959,504
41.920583,504
41.921955,505
41.922580,505
41.923602,505
41.924580,505
41.925602,505
41.926581,505
41.927596,505
41.928581,505
41.929602,505
41.930580,505
41.931957,505
41.932580,505
41.933602,505
41.934580,505
41.935602,505
41.936582,505
41.937597,505
41.938581,505
41.939604,505
41.940580,505
41.941603,505
41.942590,505
41.943601,505
41.944581,505
41.945961,505
41.946581,505
41.947596,505
41.948581,505
41.949603,505
41.950581,505
41.951602,505
41.952587,505
41.953603,505
41.954580,505
41.956001,505
41.956583,505
41.957598,505
41.958586,505
41.959603,505
41.960581,505
41.961961,505
41.962585,505
41.963604,505
41.964582,505
41.965605,505
41.966582,505
41.967602,505
41.968580,505
41.969599,506
41.970582,506
41.971604,506
41.972581,506
41.973604,506
41.974596,506
41.975604,506
41.976582,506
41.977605,506
41.978583,506
41.979599,506
41.980583,506
41.981963,506
41.982583,506
41.983605,506
41.984592,506
41.985605,506
41.986582,506
41.987961,506
41.988583,506
41.989598,506
41.990583,506
41.991963,506
41.992584,506
41.993605,506
41.994587,506
41.995960,506
41.996593,506
41.997604,506
41.998583,506
41.999599,506
42.000583,506
42.001605,506
42.002584,506
42.003603,506
42.004585,506
42.005604,506
42.006583,506
42.007604,506
42.008584,506
42.009603,506
42.010584,506
42.011599,506
42.012584,506
42.013603,506
42.014584,506
42.015606,506
42.016594,506
42.017602,507
42.018583,507
42.019597,507
42.020584,507
42.021598,507
42.022585,507
42.023603,507
42.024585,507
42.025603,507
42.026592,507
42.027604,507
42.028585,507
42.029605,507
42.030584,507
42.031598,507
42.032585,507
42.033603,507
42.034585,507
42.035604,507
42.036588,507
42.037960,507
42.038585,507
42.039604,507
42.040584,507
42.041597,507
42.042584,507
42.043602,507
42.044586,507
42.045605,507
42.046586,507
42.047608,507
42.048606,507
42.049605,507
42.050587,507
42.051608,507
42.052587,507
42.053599,507
42.054586,507
42.055604,507
42.056586,507
42.057605,507
42.058596,507
42.059604,507
42.060587,507
42.061606,507
42.062587,507
42.063602,507
42.064586,507
42.065605,507
42.066586,507
42.067598,507
42.068591,507
42.069962,507
42.070587,507
42.071598,507
42.072586,507
42.073598,507
42.074586,507
42.075606,507
42.076587,507
42.077597,507
42.078589,507
42.079609,507
42.080588,507
42.081597,507
42.082588,507
42.083599,507
42.084587,507
42.085599,507
42.086588,507
42.087597,507
42.088588,507
42.089609,507
42.090601,507
42.091599,507
42.092589,507
42.093599,507
42.094588,507
42.095601,507
42.096589,507
42.097596,507
42.098588,507
42.099607,507
42.100597,507
42.101597,507
42.102590,507
42.103601,507
42.104588,507
42.105601,507
42.106588,507
42.107601,507
42.108590,507
42.109600,507
42.110593,507
42.111964,507
42.112588,507
42.113597,507
42.114589,507
42.115600,507
42.116589,507
42.117599,507
42.118588,507
42.119597,507
42.120591,507
42.121612,507
42.122588,507
42.123599,507
42.124590,507
42.125599,507
42.126590,507
42.127598,507
42.128590,507
42.129602,507
42.130590,507
42.131609,507
42.132600,507
42.133602,507
42.134590,507
42.135602,507
42.136591,507
42.137603,507
42.138589,507
42.139608,507
42.140589,507
