timestamp,"amd_smi:::temp_current_sensor=1:device=1","amd_smi:::temp_current_sensor=2:device=1","amd_smi:::temp_current_sensor=7:device=1","amd_smi:::gfx_activity:device=1","amd_smi:::umc_activity:device=1","amd_smi:::power_current:device=1","amd_smi:::power_average:device=1","amd_smi:::process_cu_occupancy_proc=0:device=1","amd_smi:::process_count:device=1"
7.100432,41,50,33,0,0,65535,170,0,1
7.203426,41,51,33,0,0,65535,162,0,1
7.306430,41,50,33,0,0,65535,154,0,1
7.408728,40,50,33,0,0,65535,147,0,1
7.511432,40,50,33,0,0,65535,141,0,1
7.614638,41,50,33,0,0,65535,134,0,1
7.717321,40,49,33,0,0,65535,128,0,1
7.820220,41,49,33,0,0,65535,123,0,1
7.922841,40,49,33,0,0,65535,117,0,1
8.025539,41,49,33,0,0,65535,112,0,1
8.127992,40,49,33,0,0,65535,108,0,1
8.230857,41,49,33,0,0,65535,103,0,1
8.333779,40,49,33,0,0,65535,99,0,1
8.436712,40,49,33,0,0,65535,96,0,1
8.539223,40,49,33,0,0,65535,92,0,1
8.641837,40,49,32,0,0,65535,89,0,1
8.744725,40,49,33,0,0,65535,85,0,1
8.847233,40,50,33,0,0,65535,83,0,1
8.949497,39,49,32,0,0,65535,80,0,1
9.051940,40,49,33,0,0,65535,77,0,1
9.155242,40,50,32,0,0,65535,75,0,1
9.257919,40,50,33,0,0,65535,73,0,1
9.361243,40,49,33,0,0,65535,70,0,1
9.463493,40,50,33,0,0,65535,68,0,1
9.565952,40,50,33,0,0,65535,67,0,1
9.668467,39,50,32,0,0,65535,65,0,1
9.770910,41,50,33,0,0,65535,63,0,1
9.873558,40,49,32,0,0,65535,62,0,1
9.975746,40,49,33,0,0,65535,60,0,1
10.078599,39,49,33,0,0,65535,59,0,1
10.180787,39,49,33,0,0,65535,58,0,1
10.283283,40,49,32,0,0,65535,56,0,1
10.385595,40,50,33,0,0,65535,55,0,1
10.488559,39,49,32,0,0,65535,54,0,1
10.590720,40,49,33,0,0,65535,53,0,1
10.692930,40,49,33,0,0,65535,52,0,1
10.795304,39,49,33,0,0,65535,51,0,1
10.897881,40,49,33,0,0,65535,51,0,1
11.000597,40,49,33,0,0,65535,50,0,1
11.103528,39,49,33,0,0,65535,49,0,1
11.205763,39,49,33,0,0,65535,48,0,1
11.308320,39,49,33,0,0,65535,48,0,1
11.410614,39,49,33,0,0,65535,47,0,1
