timestamp,iteration,rocm_smi:::temp_current:device=1:sensor=1,rocm_smi:::temp_current:device=1:sensor=2,rocm_smi:::busy_percent:device=1,rocm_smi:::memory_busy_percent:device=1
292.773588,Iter7,72000,46000,100,0
293.274906,Iter7,72000,46000,100,0
293.775177,Iter7,72000,46000,100,0
294.276016,Iter7,72000,46000,100,0
294.776574,Iter7,72000,46000,100,0
295.276982,Iter7,72000,46000,100,0
295.777213,Iter7,72000,46000,100,0
296.278420,Iter7,72000,46000,100,0
296.779394,Iter7,72000,46000,100,0
297.280082,Iter7,72000,46000,100,0
297.780309,Iter7,72000,46000,100,0
298.280736,Iter7,72000,46000,100,0
298.781152,Iter7,72000,46000,100,0
299.281378,Iter7,72000,46000,100,0
299.782197,Iter7,72000,46000,100,0
300.282429,Iter7,72000,46000,100,0
300.782858,Iter7,72000,46000,100,0
301.283290,Iter7,72000,46000,100,0
301.783547,Iter7,72000,46000,100,0
302.284316,Iter7,72000,46000,100,0
302.784567,Iter7,72000,46000,100,0
303.284980,Iter7,72000,46000,100,0
303.785388,Iter7,72000,46000,100,0
304.285634,Iter7,72000,47000,100,0
304.786614,Iter7,72000,46000,100,0
305.287571,Iter7,71000,46000,100,0
305.788535,Iter7,72000,46000,100,0
306.289222,Iter7,71000,46000,100,0
306.789728,Iter7,71000,47000,100,0
307.290979,Iter7,72000,46000,100,0
307.791635,Iter7,71000,46000,100,0
308.291868,Iter7,73000,46000,100,0
308.792246,Iter7-Wait,75000,47000,50,0
309.292668,Iter7-Wait,66000,45000,0,0
309.792857,Iter7-Wait,61000,44000,0,0
310.293737,Iter7-Wait,57000,43000,0,0
310.794436,Iter7-Wait,55000,42000,0,0
311.294754,Iter7-Wait,53000,42000,0,0
311.794923,Iter7-Wait,52000,42000,0,0
312.295806,Iter7-Wait,52000,42000,0,0
312.796039,Iter7-Wait,51000,41000,0,0
313.296948,Iter7-Wait,51000,41000,0,0
313.797605,Iter7-Wait,50000,41000,0,0
314.298095,Iter8,50000,41000,0,0
314.798922,Iter8,55000,42000,99,0
315.299147,Iter8,60000,43000,100,0
315.799974,Iter8,64000,44000,100,0
316.300222,Iter8,66000,44000,100,0
316.801044,Iter8,67000,44000,100,0
317.301660,Iter8,69000,44000,100,0
317.802071,Iter8,69000,44000,100,0
318.302302,Iter8,70000,45000,100,0
318.803154,Iter8,70000,45000,100,0
319.303381,Iter8,70000,45000,100,0
319.803783,Iter8,70000,45000,100,0
320.304212,Iter8,71000,45000,100,0
320.804390,Iter8,71000,45000,100,0
321.305243,Iter8,71000,45000,100,0
321.805485,Iter8,71000,45000,100,0
322.305906,Iter8,71000,46000,100,0
322.806311,Iter8,71000,46000,100,0
323.306552,Iter8,71000,46000,100,0
323.806979,Iter8,71000,46000,100,0
324.307387,Iter8,71000,46000,100,0
324.807589,Iter8,71000,46000,100,0
325.308065,Iter8,72000,46000,100,0
325.808473,Iter8,72000,46000,100,0
326.309103,Iter8,72000,46000,100,0
326.809591,Iter8,72000,46000,100,0
327.310583,Iter8,72000,46000,100,0
